STAID,SOUID,DATE,TN,Q_TN
11249,71641,19480101,2,-9
11249,71641,19480102,62,-9
11249,71641,19480103,123,-9
11249,71641,19480104,75,-9
11249,71641,19480105,77,-9
11249,71641,19480106,-2,-9
11249,71641,19480107,5,-9
11249,71641,19480108,40,-9
11249,71641,19480109,-3,-9
11249,71641,19480110,7,-9
11249,71641,19480111,47,-9
11249,71641,19480112,76,-9
11249,71641,19480113,81,-9
11249,71641,19480115,37,-9
11249,71641,19480116,30,-9
11249,71641,19480117,-12,-9
11249,71641,19480118,-10,-9
11249,71641,19480119,17,-9
11249,71641,19480120,-22,-9
11249,71641,19480121,-10,-9
11249,71641,19480122,19,-9
11249,71641,19480123,7,-9
11249,71641,19480124,23,-9
11249,71641,19480125,5,-9
11249,71641,19480126,19,-9
11249,71641,19480127,9,-9
11249,71641,19480128,30,-9
11249,71641,19480129,36,-9
11249,71641,19480130,54,-9
11249,71641,19480131,107,-9
11249,71641,19480201,75,-9
11249,71641,19480202,53,-9
11249,71641,19480203,100,-9
11249,71641,19480204,38,-9
11249,71641,19480205,14,-9
11249,71641,19480206,18,-9
11249,71641,19480207,47,-9
11249,71641,19480208,90,-9
11249,71641,19480209,98,-9
11249,71641,19480210,28,-9
11249,71641,19480211,76,-9
11249,71641,19480212,63,-9
11249,71641,19480213,18,-9
11249,71641,19480214,49,-9
11249,71641,19480215,61,-9
11249,71641,19480216,57,-9
11249,71641,19480217,-4,-9
11249,71641,19480218,-37,-9
11249,71641,19480219,-39,-9
11249,71641,19480220,-89,-9
11249,71641,19480221,-81,-9
11249,71641,19480222,-71,-9
11249,71641,19480223,-57,-9
11249,71641,19480224,-77,-9
11249,71641,19480225,-68,-9
11249,71641,19480226,-57,-9
11249,71641,19480227,-25,-9
11249,71641,19480228,-2,-9
11249,71641,19480229,38,-9
11249,71641,19480301,24,-9
11249,71641,19480302,51,-9
11249,71641,19480303,11,-9
11249,71641,19480304,17,-9
11249,71641,19480305,15,-9
11249,71641,19480306,7,-9
11249,71641,19480307,15,-9
11249,71641,19480308,69,-9
11249,71641,19480309,48,-9
11249,71641,19480310,65,-9
11249,71641,19480311,43,-9
11249,71641,19480312,39,-9
11249,71641,19480313,41,-9
11249,71641,19480314,49,-9
11249,71641,19480315,59,-9
11249,71641,19480316,81,-9
11249,71641,19480317,100,-9
11249,71641,19480318,79,-9
11249,71641,19480319,0,-9
11249,71641,19480320,43,-9
11249,71641,19480321,61,-9
11249,71641,19480322,79,-9
11249,71641,19480323,19,-9
11249,71641,19480324,19,-9
11249,71641,19480325,27,-9
11249,71641,19480326,67,-9
11249,71641,19480327,57,-9
11249,71641,19480328,69,-9
11249,71641,19480329,98,-9
11249,71641,19480330,98,-9
11249,71641,19480331,26,-9
11249,71641,19480401,46,-9
11249,71641,19480402,43,-9
11249,71641,19480403,42,-9
11249,71641,19480404,43,-9
11249,71641,19480405,56,-9
11249,71641,19480406,27,-9
11249,71641,19480407,61,-9
11249,71641,19480408,94,-9
11249,71641,19480409,37,-9
11249,71641,19480410,20,-9
11249,71641,19480411,55,-9
11249,71641,19480412,50,-9
11249,71641,19480413,48,-9
11249,71641,19480414,78,-9
11249,71641,19480415,51,-9
11249,71641,19480416,48,-9
11249,71641,19480417,74,-9
11249,71641,19480418,82,-9
11249,71641,19480419,102,-9
11249,71641,19480420,82,-9
11249,71641,19480421,129,-9
11249,71641,19480422,94,-9
11249,71641,19480423,70,-9
11249,71641,19480424,58,-9
11249,71641,19480425,73,-9
11249,71641,19480426,78,-9
11249,71641,19480427,41,-9
11249,71641,19480428,35,-9
11249,71641,19480429,97,-9
11249,71641,19480430,58,-9
11249,71641,19480501,44,-9
11249,71641,19480502,79,-9
11249,71641,19480503,41,-9
11249,71641,19480504,21,-9
11249,71641,19480505,104,-9
11249,71641,19480506,93,-9
11249,71641,19480507,100,-9
11249,71641,19480508,108,-9
11249,71641,19480509,117,-9
11249,71641,19480510,123,-9
11249,71641,19480511,105,-9
11249,71641,19480512,117,-9
11249,71641,19480513,128,-9
11249,71641,19480514,118,-9
11249,71641,19480515,117,-9
11249,71641,19480516,157,-9
11249,71641,19480517,149,-9
11249,71641,19480518,149,-9
